time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,884.000,897.105,46.706,928.566,1014.941,1021.139,1026.640,1030.007,1036.963,1046.135,0.001
2,625.500,1019.261,988.728,1014.123,1019.151,1024.595,1029.274,1033.655,1042.570,1057.192,0.001
4,639.500,1018.608,993.054,1013.465,1018.638,1023.766,1028.849,1033.683,1045.867,1058.930,0.001
6,650.500,1018.246,985.573,1013.164,1018.127,1023.934,1029.486,1033.131,1042.049,1056.651,0.001
8,657.000,1018.291,1000.208,1013.663,1017.977,1023.318,1027.781,1032.118,1047.218,1074.751,0.001
10,614.500,1019.214,1000.169,1013.401,1018.332,1025.067,1030.156,1035.954,1050.997,1081.657,0.001
12,650.000,1018.323,997.432,1012.725,1017.439,1022.984,1028.419,1033.621,1052.788,1097.596,0.001
14,657.500,1018.059,1000.193,1013.012,1017.678,1023.432,1027.654,1032.227,1043.794,1081.392,0.001
16,650.500,1018.191,1000.374,1012.863,1017.625,1023.719,1028.679,1033.943,1045.503,1072.538,0.001
18,665.500,1017.992,1000.269,1013.140,1017.885,1023.411,1028.151,1031.564,1039.763,1057.581,0.001
20,624.500,1019.225,1000.266,1013.548,1017.942,1024.238,1029.742,1035.467,1060.158,1107.971,0.001
22,630.000,1018.711,991.201,1013.238,1018.699,1024.767,1029.056,1032.509,1041.726,1051.601,0.001
24,659.000,1018.283,1000.243,1013.584,1018.089,1023.050,1027.826,1033.027,1046.129,1053.093,0.001
26,649.500,1018.643,1000.207,1013.071,1018.097,1023.642,1028.837,1033.868,1057.985,1091.740,0.001
28,642.500,1018.358,1000.425,1013.449,1018.081,1023.037,1027.844,1032.901,1048.777,1069.505,0.001
30,607.000,1019.878,1000.218,1013.889,1019.058,1025.174,1031.108,1037.800,1056.074,1088.215,0.001
32,650.500,1018.208,1000.524,1012.298,1017.512,1023.205,1028.473,1033.227,1062.405,1078.927,0.001
34,674.500,1017.611,1000.308,1013.038,1017.426,1022.326,1027.493,1031.609,1045.549,1076.154,0.001
36,638.500,1018.546,1000.377,1012.680,1018.136,1023.871,1028.747,1033.769,1059.109,1099.289,0.001
38,338.000,1016.962,1000.367,1011.837,1017.090,1022.359,1027.574,1031.061,1037.654,1047.310,0.001
