time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,661.500,925.900,42.728,1001.494,1019.127,1028.022,1035.420,1039.759,1052.924,1090.142,0.001
2,506.000,1023.522,1000.462,1017.691,1024.247,1030.425,1035.613,1039.803,1050.857,1061.781,0.001
4,509.000,1023.444,1000.342,1016.400,1023.040,1030.612,1037.647,1041.944,1061.687,1075.270,0.001
6,505.000,1023.670,991.518,1017.834,1024.010,1030.648,1036.331,1040.934,1052.797,1081.808,0.001
8,524.500,1022.779,1000.712,1016.630,1022.935,1028.910,1035.430,1040.020,1050.321,1077.448,0.001
10,519.000,1022.975,1000.560,1016.212,1023.471,1030.147,1036.556,1039.679,1056.493,1074.309,0.001
12,492.500,1024.469,999.279,1016.968,1023.720,1030.494,1038.555,1045.369,1081.286,1100.173,0.001
14,502.500,1023.688,1000.635,1016.269,1023.221,1030.074,1039.507,1043.701,1054.571,1067.248,0.001
16,505.000,1023.619,1000.519,1017.261,1023.390,1029.678,1035.806,1042.694,1072.553,1108.432,0.001
18,511.000,1023.429,995.467,1016.723,1023.449,1030.151,1036.159,1041.632,1059.590,1087.326,0.001
20,507.000,1023.465,1000.399,1016.446,1023.714,1030.055,1036.006,1041.428,1062.276,1080.934,0.001
22,471.500,1025.404,1000.568,1018.959,1025.128,1031.537,1038.981,1043.249,1064.074,1112.663,0.001
24,484.500,1024.699,1000.269,1018.181,1024.114,1031.469,1038.155,1042.285,1061.066,1082.479,0.001
26,496.500,1024.121,1000.634,1018.373,1023.570,1029.634,1036.059,1042.254,1075.048,1098.936,0.001
28,491.500,1024.497,1000.359,1016.708,1024.924,1032.487,1038.518,1043.397,1059.539,1083.153,0.001
30,463.500,1025.692,1000.541,1019.362,1025.680,1033.084,1040.222,1045.326,1060.588,1084.884,0.001
32,502.500,1023.917,1000.642,1017.160,1023.404,1030.283,1037.606,1043.056,1058.841,1108.875,0.001
34,529.500,1022.588,1000.306,1016.269,1022.534,1029.582,1035.422,1040.192,1052.888,1067.274,0.001
36,447.000,1026.858,1000.570,1019.023,1026.467,1033.426,1042.253,1050.642,1081.325,1107.318,0.001
38,264.000,1021.970,1000.374,1015.456,1022.229,1029.407,1034.900,1037.711,1047.537,1055.005,0.001
